Tool;Model;RunIndex;PhaseName;MetricName;MetricValue
NMF_DisabledTieredPGO;GeneratedI12O2Seed7634.ttmodel;0;Initial;Time;40376474700
NMF_DisabledTieredPGO;GeneratedI12O2Seed7634.ttmodel;0;Initial;Memory;857849856
NMF_DisabledTieredPGO;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;425388100
NMF_DisabledTieredPGO;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;75235328
NMF_DisabledTieredPGO;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;7354114100
NMF_DisabledTieredPGO;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;379486208
NMF_DisabledTieredPGO;GeneratedI14O4Seed7634.ttmodel;0;Initial;Time;1579115650900
NMF_DisabledTieredPGO;GeneratedI14O4Seed7634.ttmodel;0;Initial;Memory;2021638144
NMF_MaxTypeChecks0;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;685035600
NMF_MaxTypeChecks0;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;75759616
NMF_MaxTypeChecks0;GeneratedI4O2Seed42.ttmodel;0;Load;Time;28209700
NMF_MaxTypeChecks0;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;77332480
NMF_MaxTypeChecks0;GeneratedI4O2Seed42.ttmodel;0;Initial;Time;219017000
NMF_MaxTypeChecks0;GeneratedI4O2Seed42.ttmodel;0;Initial;Memory;81526784
NMF_MaxTypeChecks0;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;487125000
NMF_MaxTypeChecks0;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;75497472
NMF_MaxTypeChecks0;GeneratedI8O2Seed68.ttmodel;0;Load;Time;102127900
NMF_MaxTypeChecks0;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;86769664
NMF_MaxTypeChecks0;GeneratedI8O2Seed68.ttmodel;0;Initial;Time;1476335600
NMF_MaxTypeChecks0;GeneratedI8O2Seed68.ttmodel;0;Initial;Memory;170917888
NMF_MaxTypeChecks0;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;500870600
NMF_MaxTypeChecks0;GeneratedI8O4Seed68.ttmodel;0;Initialization;Memory;75497472
NMF_MaxTypeChecks0;GeneratedI8O4Seed68.ttmodel;0;Load;Time;126235300
NMF_MaxTypeChecks0;GeneratedI8O4Seed68.ttmodel;0;Load;Memory;89653248
NMF_MaxTypeChecks0;GeneratedI8O4Seed68.ttmodel;0;Initial;Time;1566132200
NMF_MaxTypeChecks0;GeneratedI8O4Seed68.ttmodel;0;Initial;Memory;171048960
NMF_MaxTypeChecks0;GeneratedI10O2Seed68.ttmodel;0;Initialization;Time;439333200
NMF_MaxTypeChecks0;GeneratedI10O2Seed68.ttmodel;0;Initialization;Memory;75235328
NMF_MaxTypeChecks0;GeneratedI10O2Seed68.ttmodel;0;Load;Time;511932700
NMF_MaxTypeChecks0;GeneratedI10O2Seed68.ttmodel;0;Load;Memory;143523840
NMF_MaxTypeChecks0;GeneratedI10O2Seed68.ttmodel;0;Initial;Time;5790224600
NMF_MaxTypeChecks0;GeneratedI10O2Seed68.ttmodel;0;Initial;Memory;308121600
NMF_MaxTypeChecks0;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Time;436602800
NMF_MaxTypeChecks0;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Memory;75497472
NMF_MaxTypeChecks0;GeneratedI12O2Seed7634.ttmodel;0;Load;Time;2031384600
NMF_MaxTypeChecks0;GeneratedI12O2Seed7634.ttmodel;0;Load;Memory;195338240
NMF_MaxTypeChecks0;GeneratedI12O2Seed7634.ttmodel;0;Initial;Time;40000914600
NMF_MaxTypeChecks0;GeneratedI12O2Seed7634.ttmodel;0;Initial;Memory;859852800
NMF_MaxTypeChecks0;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;467530800
NMF_MaxTypeChecks0;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;75104256
NMF_MaxTypeChecks0;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;7210354300
NMF_MaxTypeChecks0;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;372002816
NMF_MaxTypeChecks0;GeneratedI14O4Seed7634.ttmodel;0;Initial;Time;1564381225000
NMF_MaxTypeChecks0;GeneratedI14O4Seed7634.ttmodel;0;Initial;Memory;2011815936
NMF_MaxTypeChecks1;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;721426000
NMF_MaxTypeChecks1;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;75890688
NMF_MaxTypeChecks1;GeneratedI4O2Seed42.ttmodel;0;Load;Time;30248400
NMF_MaxTypeChecks1;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;77594624
NMF_MaxTypeChecks1;GeneratedI4O2Seed42.ttmodel;0;Initial;Time;233543700
NMF_MaxTypeChecks1;GeneratedI4O2Seed42.ttmodel;0;Initial;Memory;81526784
NMF_MaxTypeChecks1;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;478432600
NMF_MaxTypeChecks1;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;75497472
NMF_MaxTypeChecks1;GeneratedI8O2Seed68.ttmodel;0;Load;Time;105059400
NMF_MaxTypeChecks1;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;86900736
NMF_MaxTypeChecks1;GeneratedI8O2Seed68.ttmodel;0;Initial;Time;1438354300
NMF_MaxTypeChecks1;GeneratedI8O2Seed68.ttmodel;0;Initial;Memory;170655744
NMF_MaxTypeChecks1;GeneratedI8O4Seed68.ttmodel;0;Initialization;Time;453965100
NMF_MaxTypeChecks1;GeneratedI8O4Seed68.ttmodel;0;Initialization;Memory;75628544
NMF_MaxTypeChecks1;GeneratedI8O4Seed68.ttmodel;0;Load;Time;124153000
NMF_MaxTypeChecks1;GeneratedI8O4Seed68.ttmodel;0;Load;Memory;89653248
NMF_MaxTypeChecks1;GeneratedI8O4Seed68.ttmodel;0;Initial;Time;1516049100
NMF_MaxTypeChecks1;GeneratedI8O4Seed68.ttmodel;0;Initial;Memory;170786816
NMF_MaxTypeChecks1;GeneratedI10O2Seed68.ttmodel;0;Initialization;Time;444592100
NMF_MaxTypeChecks1;GeneratedI10O2Seed68.ttmodel;0;Initialization;Memory;75628544
NMF_MaxTypeChecks1;GeneratedI10O2Seed68.ttmodel;0;Load;Time;491670100
NMF_MaxTypeChecks1;GeneratedI10O2Seed68.ttmodel;0;Load;Memory;144441344
NMF_MaxTypeChecks1;GeneratedI10O2Seed68.ttmodel;0;Initial;Time;5823473900
NMF_MaxTypeChecks1;GeneratedI10O2Seed68.ttmodel;0;Initial;Memory;309075968
NMF_MaxTypeChecks1;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Time;498594700
NMF_MaxTypeChecks1;GeneratedI12O2Seed7634.ttmodel;0;Initialization;Memory;75628544
NMF_MaxTypeChecks1;GeneratedI12O2Seed7634.ttmodel;0;Load;Time;1936798400
NMF_MaxTypeChecks1;GeneratedI12O2Seed7634.ttmodel;0;Load;Memory;201494528
NMF_MaxTypeChecks1;GeneratedI12O2Seed7634.ttmodel;0;Initial;Time;38574270900
NMF_MaxTypeChecks1;GeneratedI12O2Seed7634.ttmodel;0;Initial;Memory;859676672
NMF_MaxTypeChecks1;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Time;412615800
NMF_MaxTypeChecks1;GeneratedI14O4Seed7634.ttmodel;0;Initialization;Memory;75628544
NMF_MaxTypeChecks1;GeneratedI14O4Seed7634.ttmodel;0;Load;Time;7093385900
NMF_MaxTypeChecks1;GeneratedI14O4Seed7634.ttmodel;0;Load;Memory;383270912
NMF_MaxTypeChecks1;GeneratedI14O4Seed7634.ttmodel;0;Initial;Time;1520871657500
NMF_MaxTypeChecks1;GeneratedI14O4Seed7634.ttmodel;0;Initial;Memory;1960013824
NMF_MaxTypeChecks2;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;914337600
NMF_MaxTypeChecks2;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;75497472
NMF_MaxTypeChecks2;GeneratedI4O2Seed42.ttmodel;0;Load;Time;30654400
NMF_MaxTypeChecks2;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;77332480
NMF_MaxTypeChecks2;GeneratedI4O2Seed42.ttmodel;0;Initial;Time;320008500
NMF_MaxTypeChecks2;GeneratedI4O2Seed42.ttmodel;0;Initial;Memory;81264640
